like,reason_no,flavor,topping,store,reason,sugar,ice,weekly_consume,area
yes,,oolong milk tea,boba,kungfu tea,boba is good,half,no ice,5,Emory
yes,,oolong milk tea,"boba, herbal jelly",kungfu tea,various,light,no ice,5,Emory
yes,,taro milk tea,foam,tea house,tasty,regular,no ice,3,Emory
yes,,wow milk,boba,kungfu tea,various,half,no ice,10,Emory
yes,,brown sugar tea,boba,teatop,various,light,no ice,5,Emory
yes,,oolong milk tea,"boba, tea jelly",tea house,foam is good,half,no ice,10,Emory
yes,,milk green tea,"boba, herbal jelly",quickly,cheap,half,no ice,5,Emory
yes,,oolong milk tea,boba,quickly,free topping,less,no ice,3,Emory
yes,,oolong milk tea,"boba, tea jelly",teatop,various,light,no ice,3,Emory
no,too sweat,,,,,,,,Emory
yes,,oolong milk tea,"boba, coconut jelly",teatop,various,no sugar,no ice,3,Emory
yes,,taro milk tea,no,kungfu tea,various,no sugar,no ice,2,Emory
yes,,brown sugar tea,no,teatop,convenient,regular,no ice,5,Emory
yes,,jasmine milk tea,boba,kungfu tea,taste good,light,no ice,2,Emory
no,unhealthy,,,,,,,,Emory
yes,,oolong milk tea,aloe vera,kungfu tea,new varieties,light,no ice,5,Emory
yes,,oolong milk tea,no,teatop,sweet,half,no ice,5,Emory
no,too sweat,,,,,,,,
yes,,taro milk tea,no,tea house,not sweat,half,no ice,5,Emory
yes,,oolong milk tea,boba,kungfu tea,,light,no ice,10,Emory
yes,,wow milk,oreo,kungfu tea,various,less,light,5,Emory
yes,,milk green tea,"boba, pudding",teatop,convenient,half,no ice,5,Emory
yes,,milk green tea,aloe vera,tea house,,less,light,5,Emory
yes,,thai tea,no,tea house,advocacy effect,regular,no ice,5,Emory
yes,,milk green tea,aloe vera,tea house,tasty,half,half,3,Emory
yes,,oolong milk tea,"aloe vera, boba",tea house,special,half,no ice,5,Emory
yes,,milk foam tea,boba,teatop,tea is good,regular,light,15,Emory
yes,,milk green tea,herbal jelly,kungfu tea,foam is good,half,no ice,20,Emory
yes,,oolong milk tea,boba,all,tasty,light,light,5,Wake Forest
no,unconvenient,,,,,,,,Wake Forest
no,unconvenient,,,,,,,,Wake Forest
yes,,black tea,herbal jelly,all,tasty,light,light,3,Wake Forest
yes,,milk tea,boba,coco,cheap,no sugar,regular,2,Wake Forest
yes,,oolong milk tea,boba,kungfu tea,tasty,light,no ice,10,UCSD
yes,,milk red tea,"boba, herbal jelly",sharetea,various,half,regular,12,UCSD
yes,,mocha,taro,coco,tasty,no sugar,light,10,UCSD
yes,,milk red tea,pudding,85c,various,half,regular,10,UCSD
yes,,milk tea,"boba, foam",happy lemon,foma is good,regular,light,3,UCSD
yes,,milk tea,no,tea bar,tea is good,less,no ice,5,UCSD
yes,,oolong milk tea,boba,85c,tasty,half,regular,10,UCSD
yes,,milk tea,boba,coco,tasty,half,no ice,3,UBC
yes,,milk tea,foam,coco,various,less,regular,20,UBC
yes,,jasmine milk tea,foam,coco,various,less,light,5,UBC
yes,,milk tea,boba,nest,tea is good,half,no ice,5,UBC
yes,,milk tea,no,coco,famous,no sugar,light,3,UBC
yes,,taro milk tea,no,,convenient,half,no ice,5,UBC
yes,,jasmine milk tea,boba,happy lemon,boba is good,half,no ice,10,UBC